player_name,country,years_active,club_appearances,club_goals,club_assists,club_minutes_played,international_caps,international_goals,international_assists,international_minutes_played,club_goal_ratio,international_goal_ratio,fifa_womens_world_cup_titles,continental_titles,league_titles,champions_league_titles,domestic_cup_titles,major_individual_awards,ballon_dor_femin_wins,hat_tricks,penalty_goals,free_kick_goals,red_cards,yellow_cards,man_of_the_match_awards,captaincy_appearances,key_passes_per_game,dribbles_completed_per_game,big_chances_created,pass_accuracy_percent,clean_sheets,tackles_won_per_game,interceptions_per_game,saves_per_game,doping_tests_passed,doping_tests_failed,major_injuries_count,hall_of_fame_inducted,career_earnings_million_usd,total_trophies_won,soccer_index,normalized_index
Marta Vieira da Silva,Brazil,23,600,350,120,50000,185,115,50,18000,0.5833333333333334,0.6216216216216216,0,5,6,1,3,18,0,25,45,20,1,15,90,120,2.7,4.5,200,85.0,0,0.3,0.2,0.0,20,0,4,0,100.0,25,2966.4493243243246,100.0
Birgit Prinz,Germany,19,450,300,90,38000,214,128,48,20000,0.6666666666666666,0.5981308411214953,2,6,5,2,4,10,0,25,55,15,0,10,70,180,2.2,2.0,170,84.0,0,0.4,0.2,0.0,18,0,3,1,40.0,22,2955.4219626168224,99.62826394447126
Marta,Brazil,23,500,290,120,45000,172,115,55,16000,0.58,0.6686046511627907,0,5,6,1,3,15,0,20,40,25,1,15,80,100,2.5,4.0,200,86.0,0,0.3,0.1,0.0,20,0,5,0,80.0,30,2754.8090697674415,92.86553615389708
Marta,Brazil,23,500,290,120,45000,172,115,55,16000,0.58,0.6686046511627907,0,5,6,1,3,15,0,20,40,25,1,15,80,100,2.5,4.0,200,86.0,0,0.3,0.1,0.0,20,0,5,0,80.0,30,2754.8090697674415,92.86553615389708
Mia Hamm,United States,20,300,190,100,27000,276,158,71,25000,0.6333333333333333,0.572463768115942,2,4,3,0,2,10,0,10,50,30,1,20,50,200,2.0,3.0,150,85.0,0,0.5,0.3,0.0,15,0,3,1,10.0,25,2693.001956521739,90.78199767107536
Christine Sinclair,Canada,19,400,160,100,34000,294,186,90,25000,0.4,0.6326530612244898,0,3,4,0,2,8,0,10,35,20,0,10,50,250,2.0,2.2,150,85.0,0,0.2,0.1,0.0,18,0,3,0,25.0,15,2658.209795918367,89.6091422874326
Christine Sinclair,Canada,19,400,160,100,34000,294,186,90,25000,0.4,0.6326530612244898,0,3,4,0,2,8,0,10,35,20,0,10,50,250,2.0,2.2,150,85.0,0,0.2,0.1,0.0,18,0,3,0,25.0,15,2658.209795918367,89.6091422874326
Abby Wambach,United States,16,250,165,80,22000,255,184,50,22000,0.66,0.7215686274509804,1,4,2,0,1,8,0,15,60,20,2,25,60,230,1.8,2.5,130,82.0,0,0.4,0.2,0.0,12,0,4,1,20.0,20,2629.218529411765,88.631836986146
Sun Wen,China,17,350,200,90,30000,160,107,45,18000,0.5714285714285714,0.66875,0,5,4,0,3,8,0,18,50,20,1,15,60,150,2.3,3.5,160,83.0,0,0.3,0.2,0.0,10,0,2,1,25.0,18,2486.698392857143,83.82743546187308
Carli Lloyd,United States,19,350,175,90,27000,330,134,50,30000,0.5,0.406060606060606,2,4,3,0,2,9,0,7,25,12,1,15,55,220,2.1,2.8,130,84.0,0,0.4,0.3,0.0,15,0,3,1,60.0,25,2479.7459090909088,83.59306490616443
